locationID,mID
1,tt5715874
2,tt2382320
3,tt0110912
4,tt0993840
5,tt10366460
6,tt3402236
7,tt12412888
-1,tt10406596
4,tt3581652
8,tt9243804
9,tt5834426
10,tt6920084
-1,tt6467266
3,tt2948356
-1,tt8430054
-1,tt2953050
3,tt1745960
11,tt1856101
3,tt10095582
12,tt9032400
13,tt10323676
14,tt9115530
15,tt6751668
16,tt12361974
3,tt6710474
3,tt11466222
17,tt8847712
18,tt5726616
19,tt9411972
-1,tt8115900
20,tt4123430
7,tt2322441
3,tt15033192
-1,tt9464038
21,tt12789558
22,tt11324406
23,tt13634480
24,tt7978758
3,tt0119173
25,tt1160419
20,tt3228774
11,tt8772262
26,tt0816692
27,tt4123432
28,tt14039582
29,tt0077413
10,tt0144084
18,tt11214590
30,tt5052448
31,tt13320622
-1,tt13841850
26,tt11138512
32,tt9419884
3,tt15374070
33,tt8178634
20,tt13610562
-1,tt8480678
3,tt6705162
20,tt3183660
34,tt1464335
35,tt0468569
29,tt7657566
5,tt3281548
20,tt9639470
36,tt1843303
37,tt3521164
38,tt11291274
3,tt11245972
19,tt2180339
20,tt5108870
8,tt4244994
39,tt10944760
40,tt9376612
36,tt11286210
3,tt13235822
40,tt1051906
-1,tt11924384
20,tt0241527
7,tt3794354
20,tt4154796
41,tt12801262
3,tt0351283
10,tt4263482
42,tt9907782
36,tt7740496
10,tt8097030
3,tt4998632
3,tt11271038
31,tt10954652
7,tt13403046
-1,tt10223460
3,tt7979580
5,tt11286314
3,tt7131622
3,tt0110357
3,tt11252248
43,tt2184390
36,tt10298810
44,tt11755740
45,tt5537002
46,tt1345836
47,tt6334354
-1,tt8296030
7,tt2463208
2,tt10370710
48,tt0120338
49,tt0068646
10,tt1386697
3,tt0092099
50,tt5109280
3,tt0117571
3,tt3470600
-1,tt4633694
51,tt10293406
14,tt10665338
52,tt7984734
20,tt1877830
40,tt10648342
22,tt12585076
53,tt4513678
3,tt0382932
27,tt10838180
3,tt9620288
26,tt10872600
54,tt14060094
55,tt0087182
56,tt6856242
57,tt13560574
20,tt14114802
20,tt11127680
3,tt1655389
3,tt0317219
36,tt0055614
58,tt11198330
-1,tt14331144
5,tt6264654
